model,group,n_total_rows,n_active,n_id_violation,n_think_violation,R_H,R_R,rationality_pass,H_norm_k5,EHE_k5,H_norm_k4,EHE_k4,intervention_rows,retry_rows,retry_sum
gemma3_12b,Group_A,1000,999,695,52,0.6956956956956957,0.05205205205205205,0.9479479479479479,0.42788689615996073,0.13020782425688496,0.47127455893932246,0.14341087679434839,0,0,0
gemma3_12b,Group_B,1000,883,0,0,0.0,0.0,1.0,0.4118262375952047,0.4118262375952047,0.4781154556420319,0.4781154556420319,0,2,2
gemma3_12b,Group_C,1000,962,0,0,0.0,0.0,1.0,0.4072047777630533,0.4072047777630533,0.47275010693019903,0.47275010693019903,0,0,0
gemma3_27b,Group_A,1000,1000,144,80,0.144,0.08,0.92,0.648582075580667,0.555186256697051,0.6954769074619422,0.5953282327874225,0,0,0
gemma3_27b,Group_B,1000,984,0,0,0.0,0.0,1.0,0.5418134765569145,0.5418134765569145,0.6290259667030474,0.6290259667030474,0,1,1
gemma3_27b,Group_C,1000,997,0,0,0.0,0.0,1.0,0.5898625480279739,0.5898625480279739,0.6848092111939993,0.6848092111939993,0,4,4
gemma3_4b,Group_A,1000,998,216,20,0.21643286573146292,0.02004008016032064,0.9799599198396793,0.6408655824720714,0.5021612079089778,0.6638279246738895,0.5201537445841499,0,0,0
gemma3_4b,Group_B,1000,855,0,5,0.0,0.005847953216374269,0.9941520467836258,0.6802246981762655,0.6802246981762655,0.7897164187658736,0.7897164187658736,0,105,140
gemma3_4b,Group_C,1000,857,0,20,0.0,0.023337222870478413,0.9766627771295215,0.6927841048429957,0.6927841048429957,0.8042974383631718,0.8042974383631718,0,128,211
ministral3_14b,Group_A,1000,973,675,129,0.6937307297019527,0.13257965056526208,0.8674203494347379,0.7010698160162278,0.21471614097927635,0.4804725944397028,0.1471539908972574,0,0,0
ministral3_14b,Group_B,1000,889,0,0,0.0,0.0,1.0,0.5987161539243755,0.5987161539243755,0.695087929329957,0.695087929329957,0,35,40
ministral3_14b,Group_C,1000,927,0,0,0.0,0.0,1.0,0.6137042235628979,0.6137042235628979,0.7124885393208636,0.7124885393208636,0,50,54
ministral3_3b,Group_A,1000,991,663,238,0.669021190716448,0.2401614530776993,0.7598385469223007,0.5408035497999891,0.17899451496911847,0.435467020816369,0.14413035603205754,0,0,0
ministral3_3b,Group_B,1000,688,1,6,0.0014534883720930232,0.00872093023255814,0.9912790697674418,0.6503495735910158,0.6494042980480056,0.7550324732094977,0.7539350422891351,0,301,447
ministral3_3b,Group_C,1000,764,0,1,0.0,0.0013089005235602095,0.9986910994764397,0.5513826763724388,0.5513826763724388,0.6401354636516758,0.6401354636516758,0,72,93
ministral3_8b,Group_A,1000,984,131,41,0.133130081300813,0.041666666666666664,0.9583333333333334,0.7152094908274316,0.6199935931664626,0.7524513028757583,0.652277399749006,0,0,0
ministral3_8b,Group_B,1000,948,0,0,0.0,0.0,1.0,0.5400004967793456,0.5400004967793456,0.6269211623625475,0.6269211623625475,0,53,58
ministral3_8b,Group_C,1000,815,0,0,0.0,0.0,1.0,0.5367977755108728,0.5367977755108728,0.6232029181158675,0.6232029181158675,0,37,41
