agent_id,year,cluster,basin,yearly_decision,fql_raw_skill,fql_action,fql_blocked,wsa_label,aca_label,request,diversion,water_right,curtailment_ratio,drought_index,shortage_tier,lake_mead_level,mead_storage_maf,has_efficient_system,below_minimum_utilisation,utilisation_pct,magnitude_pct,magnitude_fallback,is_exploration,memory
MohaveValleyIDD,1,forward_looking_conservative,lower_basin,increase_demand,increase_demand,4071.9515240335113,False,L,M,28812.793834164844,28812.793834164844,50000.0,0.0,0.20049923841406675,0,1091.6804874149973,12.334438993199775,False,False,57.62558766832969,9.751353587419372,False,False,FQL_BASELINE
Fort Mohave Ind Res AZ,1,forward_looking_conservative,lower_basin,decrease_demand,decrease_demand,-3454.2899902326226,False,L,M,89533.0750468353,89533.0750468353,105000.0,0.0,0.20049923841406675,0,1091.6804874149973,12.334438993199775,False,False,85.2695952827003,3.0,False,False,FQL_BASELINE
Fort Mohave Ind Res CA,1,forward_looking_conservative,lower_basin,maintain_demand,decrease_demand,-4672.963975088246,True,L,M,13117.143594639152,13117.143594639152,44000.0,0.0,0.20049923841406675,0,1091.6804874149973,12.334438993199775,False,False,29.811689987816255,,False,False,FQL_BASELINE
CRIR AZ,1,forward_looking_conservative,lower_basin,decrease_demand,decrease_demand,-40418.2042758783,False,L,M,517916.81202629185,517916.81202629185,880000.0,0.0,0.20049923841406675,0,1091.6804874149973,12.334438993199775,False,False,58.8541831848059,7.883521209501856,False,False,FQL_BASELINE
CRIR CA,1,forward_looking_conservative,lower_basin,maintain_demand,decrease_demand,-1724.6514093008454,True,L,M,1724.6514093008454,1724.6514093008454,40000.0,0.0,0.20049923841406675,0,1091.6804874149973,12.334438993199775,False,True,4.311628523252113,,False,False,FQL_BASELINE
NorthGilaValleyIDD,1,forward_looking_conservative,lower_basin,decrease_demand,decrease_demand,-2515.3204688485685,False,L,M,37786.715644800846,37786.715644800846,68000.0,0.0,0.20049923841406675,0,1091.6804874149973,12.334438993199775,False,False,55.56869947764831,7.449596527487134,False,False,FQL_BASELINE
YumaCountyWUA,1,forward_looking_conservative,lower_basin,decrease_demand,decrease_demand,-21323.78049785299,False,L,M,297961.41795033537,297961.41795033537,580000.0,0.0,0.20049923841406675,0,1091.6804874149973,12.334438993199775,False,False,51.3726582672992,10.138193924588485,False,False,FQL_BASELINE
UnitBIDD,1,forward_looking_conservative,lower_basin,maintain_demand,decrease_demand,-3062.980976046604,True,L,M,22945.802495979413,22945.802495979413,58000.0,0.0,0.20049923841406675,0,1091.6804874149973,12.334438993199775,False,False,39.56172844134381,,False,False,FQL_BASELINE
CocopahIndRes,1,forward_looking_conservative,lower_basin,maintain_demand,decrease_demand,-511.85058513945177,True,L,M,511.85058513945177,511.85058513945177,14000.0,0.0,0.20049923841406675,0,1091.6804874149973,12.334438993199775,False,True,3.656075608138941,,False,False,FQL_BASELINE
GilaMonsterFarms,1,myopic_conservative,lower_basin,maintain_demand,decrease_demand,-474.2078534221247,True,L,L,7487.9,7487.9,17400.0,0.0,0.20049923841406675,0,1091.6804874149973,12.334438993199775,False,False,43.03390804597701,,False,False,FQL_BASELINE
Powers,1,myopic_conservative,lower_basin,maintain_demand,decrease_demand,-102.59659499645322,True,L,L,234.65,234.65,2950.0,0.0,0.20049923841406675,0,1091.6804874149973,12.334438993199775,False,True,7.954237288135594,,False,False,FQL_BASELINE
FtYumaReservation,1,forward_looking_conservative,lower_basin,decrease_demand,decrease_demand,-58.52539533617208,False,L,M,1498.8638046765436,1498.8638046765436,2400.0,0.0,0.20049923841406675,0,1091.6804874149973,12.334438993199775,False,False,62.45265852818932,7.698092092683648,False,False,FQL_BASELINE
