agent_id,tract_id,mg,tenure,income,household_size,generations,has_vehicle,has_children,has_elderly,housing_cost_burden,rcv_building,rcv_contents,trust_gov,trust_ins,trust_neighbors,elevated,has_insurance,relocated,cumulative_damage,cumulative_oop
H0001,T001,False,Owner,103682.87,4,2,True,True,False,False,383747.68,167060.68,0.584,0.648,0.35,False,False,False,0.0,0.0
H0002,T001,True,Owner,44064.94,3,1,False,True,False,True,157717.51,53587.29,0.111,0.51,0.488,False,False,False,0.0,0.0
H0003,T001,False,Owner,66846.29,4,2,True,False,True,False,366484.57,169009.44,0.739,0.829,0.3,False,False,False,0.0,0.0
H0004,T001,True,Owner,53745.83,1,1,True,False,True,True,294771.38,138394.83,0.273,0.134,0.675,False,False,False,0.0,0.0
H0005,T001,False,Renter,64837.39,1,2,True,False,False,False,0.0,48993.34,0.572,0.51,0.452,False,False,False,0.0,0.0
H0006,T001,False,Renter,117643.82,5,1,True,False,False,False,0.0,73838.73,0.716,0.37,0.56,False,True,False,0.0,0.0
H0007,T001,True,Owner,36635.24,3,3,False,True,True,True,311663.28,133122.88,0.184,0.368,0.457,False,False,False,0.0,0.0
H0008,T001,True,Owner,30206.53,2,2,True,False,False,False,253785.89,84822.28,0.284,0.1,0.499,False,False,False,0.0,0.0
H0009,T001,True,Owner,44340.55,6,1,True,False,False,False,273815.86,128302.0,0.1,0.125,0.509,False,False,False,0.0,0.0
H0010,T001,True,Owner,63181.31,2,3,True,False,False,False,350853.77,166751.51,0.652,0.162,0.339,False,False,False,0.0,0.0
H0011,T001,False,Owner,58843.51,5,1,True,False,False,False,636793.14,222448.08,0.521,0.83,0.3,False,False,False,0.0,0.0
H0012,T001,True,Owner,44381.94,2,2,True,False,False,False,354014.0,142280.09,0.313,0.153,0.719,False,True,False,0.0,0.0
H0013,T001,True,Owner,80000.0,4,1,True,False,False,True,322769.83,121465.99,0.1,0.366,0.666,False,False,False,0.0,0.0
H0014,T001,False,Renter,82418.55,5,2,True,True,False,False,0.0,54673.18,0.388,0.77,0.3,False,False,False,0.0,0.0
H0015,T001,False,Owner,77731.93,1,4,True,True,False,False,495548.24,193632.87,0.646,0.721,0.733,False,False,False,0.0,0.0
H0016,T001,False,Owner,59686.64,3,4,True,True,False,False,418878.99,198592.09,0.759,0.563,0.5,False,False,False,0.0,0.0
H0017,T001,False,Renter,104446.01,4,2,True,False,False,False,0.0,80000.0,0.6,0.508,0.8,False,False,False,0.0,0.0
H0018,T001,False,Owner,70377.84,1,2,True,True,False,False,554545.98,263822.13,0.385,0.684,0.3,False,False,False,0.0,0.0
H0019,T001,True,Owner,29132.99,1,4,True,False,True,False,270526.12,84902.6,0.262,0.249,0.281,False,False,False,0.0,0.0
H0020,T001,False,Owner,198643.89,3,1,True,False,False,False,545228.04,258703.4,0.8,0.525,0.3,False,False,False,0.0,0.0
H0021,T001,True,Owner,76849.12,3,1,True,True,False,False,182317.05,78391.88,0.662,0.108,0.646,False,False,False,0.0,0.0
H0022,T001,False,Owner,160301.75,3,2,True,True,False,False,275922.46,95475.5,0.474,0.705,0.3,False,False,False,0.0,0.0
H0023,T001,True,Renter,57324.0,4,2,False,False,False,True,0.0,44466.1,0.185,0.25,0.672,False,False,False,0.0,0.0
H0024,T001,False,Owner,118251.98,1,4,True,False,False,False,510564.74,201435.25,0.715,0.637,0.3,False,False,False,0.0,0.0
H0025,T001,False,Owner,135083.84,4,3,True,False,False,False,507229.39,199546.55,0.715,0.707,0.648,False,False,False,0.0,0.0
H0026,T001,False,Renter,93750.58,1,2,True,False,False,False,0.0,54965.52,0.481,0.614,0.415,False,False,False,0.0,0.0
H0027,T001,True,Owner,56370.35,1,2,True,False,False,True,266882.38,129345.38,0.288,0.406,0.506,False,False,False,0.0,0.0
H0028,T001,False,Owner,92971.06,1,2,True,False,False,False,401513.95,198267.29,0.51,0.856,0.8,False,False,False,0.0,0.0
H0029,T001,False,Owner,40000.0,3,1,True,True,False,False,341633.33,106496.36,0.382,0.383,0.3,False,False,False,0.0,0.0
H0030,T001,False,Owner,136241.26,6,1,True,False,False,False,347481.65,170774.56,0.2,0.397,0.494,False,False,False,0.0,0.0
H0031,T001,False,Renter,70996.11,3,1,True,True,False,False,0.0,51512.69,0.52,0.213,0.68,False,False,False,0.0,0.0
H0032,T001,False,Renter,193823.98,5,1,True,False,False,False,0.0,80000.0,0.475,0.897,0.359,False,False,False,0.0,0.0
H0033,T001,True,Renter,76732.52,5,3,False,True,False,False,0.0,43792.5,0.1,0.1,0.758,False,False,False,0.0,0.0
H0034,T001,True,Renter,39009.6,4,1,False,False,False,True,0.0,40379.55,0.254,0.356,0.765,False,False,False,0.0,0.0
H0035,T001,False,Renter,64248.67,5,3,True,False,False,False,0.0,46769.37,0.598,0.599,0.3,False,False,False,0.0,0.0
H0036,T001,False,Owner,107047.65,3,2,True,False,True,False,439149.36,171995.97,0.711,0.716,0.58,False,False,False,0.0,0.0
H0037,T001,False,Owner,166918.87,4,2,True,True,False,False,521107.56,248137.27,0.719,0.46,0.8,False,False,False,0.0,0.0
H0038,T001,True,Owner,50102.31,2,1,True,False,False,False,249689.1,107564.88,0.199,0.162,0.544,False,True,False,0.0,0.0
