Model,Group,Quality,Speed,Safety,Stability,Variety
deepseek_r1_1_5b,Group_A,87.0,18.202531969636844,87.0,100.0,0.7978379775184117
deepseek_r1_1_5b,Group_B,87.3,12.276997633588868,87.3,83.5,0.9094276239286793
deepseek_r1_1_5b,Group_C,89.4,11.499553275499323,89.4,87.4,0.9181704638442655
deepseek_r1_8b,Group_A,89.9,4.88856913200908,89.9,100.0,0.4588052887721263
deepseek_r1_8b,Group_B,99.9,2.5171319977033626,99.9,83.6,0.2600887204444636
deepseek_r1_8b,Group_C,99.8,3.3446285235616053,99.8,89.60000000000001,0.2600887204444636
deepseek_r1_14b,Group_A,85.39999999999999,5.696824098817987,85.39999999999999,100.0,0.6104483397217796
deepseek_r1_14b,Group_B,100.0,3.2861734068457,100.0,100.0,0.6564020844997631
deepseek_r1_14b,Group_C,100.0,2.9790635267861094,100.0,100.0,0.6690641285154401
deepseek_r1_32b,Group_A,89.1,0.44319274570243755,89.1,100.0,0.4980834661268789
