agent_id,year,current_action,cumulative_state,elevated,has_insurance,relocated,outcome
Agent_1,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_2,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_3,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_4,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_5,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_6,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_7,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_8,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_9,1,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_10,1,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_11,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_12,1,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_13,1,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_14,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_15,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_16,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_17,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_18,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_19,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_20,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_21,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_22,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_23,1,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_24,1,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_25,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_26,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_27,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_28,1,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_29,1,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_30,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_31,1,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_32,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_33,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_34,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_35,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_36,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_37,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_38,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_39,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_40,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_41,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_42,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_43,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_44,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_45,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_46,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_47,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_48,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_49,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_50,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_51,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_52,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_53,1,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_54,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_55,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_56,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_57,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_58,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_59,1,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_60,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_61,1,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_62,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_63,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_64,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_65,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_66,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_67,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_68,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_69,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_70,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_71,1,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_72,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_73,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_74,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_75,1,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_76,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_77,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_78,1,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_79,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_80,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_81,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_82,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_83,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_84,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_85,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_86,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_87,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_88,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_89,1,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_90,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_91,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_92,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_93,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_94,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_95,1,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_96,1,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_97,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_98,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_99,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_100,1,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_1,2,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_2,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_3,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_4,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_5,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_6,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_7,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_8,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_9,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_10,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_11,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_12,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_13,2,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_14,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_15,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_16,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_17,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_18,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_19,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_20,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_21,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_22,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_23,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_24,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_25,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_26,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_27,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_28,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_29,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_30,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_31,2,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_32,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_33,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_34,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_35,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_36,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_37,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_38,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_39,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_40,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_41,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_42,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_43,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_44,2,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_45,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_46,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_47,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_48,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_49,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_50,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_51,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_52,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_53,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_54,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_55,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_56,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_57,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_58,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_59,2,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_60,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_61,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_62,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_63,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_64,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_65,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_66,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_67,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_68,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_69,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_70,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_71,2,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_72,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_73,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_74,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_75,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_76,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_77,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_78,2,buy_insurance,Only Flood Insurance,False,True,False,SAMPLED
Agent_79,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_80,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_81,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_82,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_83,2,do_nothing,Do Nothing,False,False,False,SAMPLED
Agent_84,2,do_nothing,Do Nothing,False,False,False,SAMPLED
