model,group,n_runs,R_R_final_pct,R_H_final_pct,EHE_k4_final
gemma3_4b,Group_A,3,1.568,18.417,0.456
gemma3_4b,Group_B,3,0.645,11.008,0.657
gemma3_4b,Group_C,3,0.889,10.646,0.672
gemma3_12b,Group_A,3,4.798,79.599,0.098
gemma3_12b,Group_B,3,0.077,11.004,0.429
gemma3_12b,Group_C,3,0.034,9.818,0.382
gemma3_27b,Group_A,3,8.967,14.133,0.567
gemma3_27b,Group_B,2,0.0,9.697,0.562
gemma3_27b,Group_C,2,0.0,9.164,0.609
ministral3_3b,Group_A,3,20.219,61.503,0.197
ministral3_3b,Group_B,2,0.796,13.526,0.636
ministral3_3b,Group_C,2,0.065,12.818,0.594
ministral3_8b,Group_A,2,5.039,16.949,0.62
ministral3_8b,Group_B,2,0.0,9.994,0.56
ministral3_8b,Group_C,2,0.0,11.375,0.566
ministral3_14b,Group_A,2,12.691,79.411,0.101
ministral3_14b,Group_B,2,0.0,11.129,0.627
ministral3_14b,Group_C,2,0.0,10.327,0.627
