agent_id,year,decision,flood,cumulative_state,elevated,has_insurance,relocated,raw_skill,outcome,id,trust_in_insurance,trust_in_neighbors
Agent_1,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_1,0.24,0.38
Agent_2,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_2,0.2,0.47
Agent_3,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_3,0.46,0.38
Agent_4,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_4,0.27,0.38
Agent_5,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_5,0.23,0.35
Agent_6,1,Only Flood Insurance,False,Only Flood Insurance,False,True,False,buy_insurance,LOGGED,Agent_6,0.3,0.38
Agent_7,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_7,0.45,0.37
Agent_8,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_8,0.22,0.38
Agent_9,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_9,0.29,0.38
Agent_10,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_10,0.2,0.47
Agent_1,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_1,0.24,0.38
Agent_2,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_2,0.2,0.47
Agent_3,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_3,0.46,0.38
Agent_4,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_4,0.27,0.38
Agent_5,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_5,0.23,0.35
Agent_6,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_6,0.3,0.38
Agent_7,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_7,0.45,0.37
Agent_8,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_8,0.22,0.38
Agent_9,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_9,0.29,0.38
Agent_10,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_10,0.2,0.47
Agent_1,3,Only House Elevation,True,Only House Elevation,True,False,False,elevate_house,LOGGED,Agent_1,0.24,0.38
Agent_2,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_2,0.2,0.47
Agent_3,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_3,0.46,0.38
Agent_4,3,Only Flood Insurance,True,Only Flood Insurance,False,True,False,buy_insurance,LOGGED,Agent_4,0.27,0.38
Agent_5,3,Only Flood Insurance,True,Only Flood Insurance,False,True,False,buy_insurance,LOGGED,Agent_5,0.23,0.35
Agent_6,3,Only Flood Insurance,True,Only Flood Insurance,False,True,False,buy_insurance,LOGGED,Agent_6,0.3,0.38
Agent_7,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_7,0.45,0.37
Agent_8,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_8,0.22,0.38
Agent_9,3,Only Flood Insurance,True,Only Flood Insurance,False,True,False,buy_insurance,LOGGED,Agent_9,0.29,0.38
Agent_10,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_10,0.2,0.47
Agent_1,4,Both Flood Insurance and House Elevation,True,Both Flood Insurance and House Elevation,True,True,False,buy_insurance,LOGGED,Agent_1,0.24,0.38
Agent_2,4,Do Nothing,True,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_2,0.2,0.47
Agent_3,4,Do Nothing,True,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_3,0.46,0.38
Agent_4,4,Do Nothing,True,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_4,0.27,0.38
Agent_5,4,Only House Elevation,True,Only House Elevation,True,False,False,elevate_house,LOGGED,Agent_5,0.23,0.35
Agent_6,4,Do Nothing,True,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_6,0.3,0.38
Agent_7,4,Do Nothing,True,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_7,0.45,0.37
Agent_8,4,Only House Elevation,True,Only House Elevation,True,False,False,elevate_house,LOGGED,Agent_8,0.22,0.38
Agent_9,4,Only Flood Insurance,True,Only Flood Insurance,False,True,False,buy_insurance,LOGGED,Agent_9,0.29,0.38
Agent_10,4,Do Nothing,True,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_10,0.2,0.47
Agent_1,5,Only House Elevation,False,Only House Elevation,True,False,False,do_nothing,LOGGED,Agent_1,0.24,0.38
Agent_2,5,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_2,0.2,0.47
Agent_3,5,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_3,0.46,0.38
Agent_4,5,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_4,0.27,0.38
