agent_id,year,decision,raw_skill,outcome,elevated,has_insurance,relocated
Agent_1,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_2,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_3,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_4,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_5,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_6,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_7,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_8,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_9,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_10,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_11,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_12,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_13,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_14,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_15,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_16,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_17,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_18,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_19,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_20,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_21,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_22,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_23,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_24,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_25,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_26,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_27,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_28,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_29,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_30,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_31,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_32,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_33,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_34,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_35,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_36,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_37,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_38,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_39,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_40,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_41,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_42,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_43,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_44,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_45,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_46,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_47,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_48,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_49,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_50,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_51,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_52,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_53,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_54,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_55,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_56,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_57,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_58,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_59,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_60,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_61,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_62,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_63,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_64,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_65,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_66,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_67,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_68,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_69,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_70,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_71,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_72,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_73,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_74,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_75,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_76,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_77,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_78,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_79,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_80,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_81,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_82,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_83,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_84,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_85,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_86,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_87,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_88,1,Do Nothing,do_nothing,APPROVED,False,False,False
