agent_id,year,decision,raw_skill,outcome,elevated,has_insurance,relocated
Agent_1,1,Only House Elevation,elevate_house,APPROVED,True,False,False
Agent_2,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_3,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_4,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_5,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_6,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_7,1,Only House Elevation,elevate_house,APPROVED,True,False,False
Agent_8,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_9,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_10,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_11,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_12,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_13,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_14,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_15,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_16,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_17,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_18,1,Only House Elevation,elevate_house,APPROVED,True,False,False
Agent_19,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_20,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_21,1,Only House Elevation,elevate_house,APPROVED,True,False,False
Agent_22,1,Only House Elevation,elevate_house,APPROVED,True,False,False
Agent_23,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_24,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_25,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_26,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_27,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_28,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_29,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_30,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_31,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_32,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_33,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_34,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_35,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_36,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_37,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_38,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_39,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_40,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_41,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_42,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_43,1,Only House Elevation,elevate_house,APPROVED,True,False,False
Agent_44,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_45,1,Do Nothing,do_nothing,APPROVED,False,False,False
Agent_46,1,Only House Elevation,elevate_house,APPROVED,True,False,False
