agent_id,year,cumulative_state,elevated,has_insurance,relocated,trust_insurance,trust_neighbors
Agent_1,1,Do Nothing,False,False,False,0.22,0.37
Agent_2,1,Do Nothing,False,False,False,0.18000000000000002,0.45999999999999996
Agent_3,1,Do Nothing,False,False,False,0.44,0.37
Agent_4,1,Only House Elevation,True,False,False,0.25,0.37
Agent_5,1,Do Nothing,False,False,False,0.21000000000000002,0.33999999999999997
Agent_6,1,Only House Elevation,True,False,False,0.27999999999999997,0.37
Agent_7,1,Only Flood Insurance,False,True,False,0.47000000000000003,0.36
Agent_8,1,Do Nothing,False,False,False,0.2,0.37
Agent_9,1,Do Nothing,False,False,False,0.26999999999999996,0.37
Agent_10,1,Do Nothing,False,False,False,0.18000000000000002,0.45999999999999996
Agent_11,1,Only Flood Insurance,False,True,False,0.26,0.52
Agent_12,1,Only Flood Insurance,False,True,False,0.31,0.35
Agent_13,1,Do Nothing,False,False,False,0.21000000000000002,0.43
Agent_14,1,Only House Elevation,True,False,False,0.26999999999999996,0.49
Agent_15,1,Do Nothing,False,False,False,0.43,0.48
Agent_16,1,Do Nothing,False,False,False,0.31,0.45
Agent_17,1,Only Flood Insurance,False,True,False,0.31,0.51
Agent_18,1,Do Nothing,False,False,False,0.21000000000000002,0.41
Agent_19,1,Only Flood Insurance,False,True,False,0.49,0.35
Agent_20,1,Do Nothing,False,False,False,0.35,0.38
Agent_21,1,Only Flood Insurance,False,True,False,0.46,0.37
Agent_22,1,Only Flood Insurance,False,True,False,0.51,0.47
Agent_23,1,Do Nothing,False,False,False,0.24000000000000002,0.53
Agent_24,1,Do Nothing,False,False,False,0.45999999999999996,0.49
Agent_25,1,Do Nothing,False,False,False,0.21000000000000002,0.45999999999999996
Agent_26,1,Only Flood Insurance,False,True,False,0.30000000000000004,0.33999999999999997
Agent_27,1,Do Nothing,False,False,False,0.32,0.37
Agent_28,1,Do Nothing,False,False,False,0.31,0.52
Agent_29,1,Do Nothing,False,False,False,0.25,0.41
Agent_30,1,Only Flood Insurance,False,True,False,0.26,0.44
Agent_31,1,Only Flood Insurance,False,True,False,0.32,0.37
Agent_32,1,Do Nothing,False,False,False,0.31,0.39
Agent_33,1,Do Nothing,False,False,False,0.44,0.54
Agent_34,1,Do Nothing,False,False,False,0.37,0.52
Agent_35,1,Only Flood Insurance,False,True,False,0.29000000000000004,0.45
Agent_36,1,Only Flood Insurance,False,True,False,0.52,0.35
Agent_37,1,Do Nothing,False,False,False,0.44,0.5
Agent_38,1,Do Nothing,False,False,False,0.38999999999999996,0.39999999999999997
Agent_39,1,Do Nothing,False,False,False,0.42,0.43
Agent_40,1,Do Nothing,False,False,False,0.25,0.51
Agent_41,1,Do Nothing,False,False,False,0.47,0.33999999999999997
Agent_42,1,Do Nothing,False,False,False,0.32999999999999996,0.41
Agent_43,1,Do Nothing,False,False,False,0.32,0.43
Agent_44,1,Only House Elevation,True,False,False,0.42,0.39
Agent_45,1,Do Nothing,False,False,False,0.41,0.43
Agent_46,1,Do Nothing,False,False,False,0.43,0.43
Agent_47,1,Only Flood Insurance,False,True,False,0.38,0.35
Agent_48,1,Only Flood Insurance,False,True,False,0.5,0.39
Agent_49,1,Do Nothing,False,False,False,0.44999999999999996,0.54
Agent_50,1,Do Nothing,False,False,False,0.42,0.43
Agent_51,1,Only Flood Insurance,False,True,False,0.48000000000000004,0.45999999999999996
Agent_52,1,Do Nothing,False,False,False,0.43,0.36
Agent_53,1,Do Nothing,False,False,False,0.26999999999999996,0.42
Agent_54,1,Do Nothing,False,False,False,0.45999999999999996,0.41
Agent_55,1,Only Flood Insurance,False,True,False,0.43,0.45999999999999996
Agent_56,1,Only House Elevation,True,False,False,0.44999999999999996,0.37
Agent_57,1,Only House Elevation,True,False,False,0.47,0.39999999999999997
Agent_58,1,Only House Elevation,True,False,False,0.41,0.48
Agent_59,1,Do Nothing,False,False,False,0.26,0.37
Agent_60,1,Only Flood Insurance,False,True,False,0.28,0.39999999999999997
Agent_61,1,Do Nothing,False,False,False,0.26,0.33999999999999997
Agent_62,1,Do Nothing,False,False,False,0.37,0.39999999999999997
Agent_63,1,Do Nothing,False,False,False,0.23,0.36
Agent_64,1,Only Flood Insurance,False,True,False,0.37,0.41
Agent_65,1,Do Nothing,False,False,False,0.19,0.39999999999999997
Agent_66,1,Do Nothing,False,False,False,0.23,0.45
Agent_67,1,Only Flood Insurance,False,True,False,0.27,0.39
Agent_68,1,Do Nothing,False,False,False,0.31,0.42
Agent_69,1,Do Nothing,False,False,False,0.27999999999999997,0.41
Agent_70,1,Only Flood Insurance,False,True,False,0.36000000000000004,0.5
Agent_71,1,Only Flood Insurance,False,True,False,0.42000000000000004,0.48
Agent_72,1,Do Nothing,False,False,False,0.23,0.41
Agent_73,1,Do Nothing,False,False,False,0.45999999999999996,0.37
Agent_74,1,Only House Elevation,True,False,False,0.18000000000000002,0.43
Agent_75,1,Do Nothing,False,False,False,0.21000000000000002,0.43
Agent_76,1,Only Flood Insurance,False,True,False,0.27,0.47
Agent_77,1,Do Nothing,False,False,False,0.41,0.41
Agent_78,1,Do Nothing,False,False,False,0.41,0.33999999999999997
Agent_79,1,Only House Elevation,True,False,False,0.43,0.45999999999999996
Agent_80,1,Do Nothing,False,False,False,0.37,0.43
Agent_81,1,Do Nothing,False,False,False,0.37,0.35
Agent_82,1,Only Flood Insurance,False,True,False,0.24,0.36
Agent_83,1,Only Flood Insurance,False,True,False,0.34,0.38
Agent_84,1,Do Nothing,False,False,False,0.44999999999999996,0.41
Agent_85,1,Only Flood Insurance,False,True,False,0.45,0.42
Agent_86,1,Do Nothing,False,False,False,0.29,0.48
Agent_87,1,Only Flood Insurance,False,True,False,0.5,0.51
Agent_88,1,Do Nothing,False,False,False,0.47,0.41
Agent_89,1,Only House Elevation,True,False,False,0.21000000000000002,0.48
Agent_90,1,Only House Elevation,True,False,False,0.32999999999999996,0.33999999999999997
Agent_91,1,Do Nothing,False,False,False,0.24000000000000002,0.41
Agent_92,1,Only Flood Insurance,False,True,False,0.27,0.41
Agent_93,1,Only House Elevation,True,False,False,0.21000000000000002,0.45999999999999996
Agent_94,1,Only Flood Insurance,False,True,False,0.32,0.5
Agent_95,1,Do Nothing,False,False,False,0.24000000000000002,0.47
Agent_96,1,Do Nothing,False,False,False,0.38,0.49
Agent_97,1,Only Flood Insurance,False,True,False,0.46,0.47
Agent_98,1,Do Nothing,False,False,False,0.45999999999999996,0.45
Agent_99,1,Only Flood Insurance,False,True,False,0.39,0.45
Agent_100,1,Do Nothing,False,False,False,0.2,0.47
Agent_1,2,Do Nothing,False,False,False,0.2,0.41
Agent_2,2,Do Nothing,False,False,False,0.16000000000000003,0.49999999999999994
Agent_3,2,Do Nothing,False,False,False,0.42,0.41
Agent_4,2,Only House Elevation,True,False,False,0.23,0.41
Agent_5,2,Do Nothing,False,False,False,0.19000000000000003,0.37999999999999995
Agent_6,2,Relocate,True,False,True,0.27999999999999997,0.37
Agent_7,2,Do Nothing,False,False,False,0.45,0.39999999999999997
Agent_8,2,Only House Elevation,True,False,False,0.18000000000000002,0.41
Agent_9,2,Only Flood Insurance,False,True,False,0.29,0.41
Agent_10,2,Only Flood Insurance,False,True,False,0.2,0.49999999999999994
Agent_11,2,Only Flood Insurance,False,True,False,0.28,0.56
Agent_12,2,Only Flood Insurance,False,True,False,0.33,0.38999999999999996
Agent_13,2,Only Flood Insurance,False,True,False,0.23,0.47
Agent_14,2,Both Flood Insurance and House Elevation,True,True,False,0.29,0.53
Agent_15,2,Do Nothing,False,False,False,0.41,0.52
Agent_16,2,Do Nothing,False,False,False,0.29,0.49
Agent_17,2,Only Flood Insurance,False,True,False,0.33,0.55
Agent_18,2,Only House Elevation,True,False,False,0.19000000000000003,0.44999999999999996
Agent_19,2,Only House Elevation,True,False,False,0.47,0.38999999999999996
Agent_20,2,Do Nothing,False,False,False,0.32999999999999996,0.42
Agent_21,2,Only House Elevation,True,False,False,0.44,0.41
Agent_22,2,Only House Elevation,True,False,False,0.49,0.51
Agent_23,2,Do Nothing,False,False,False,0.22000000000000003,0.5700000000000001
Agent_24,2,Do Nothing,False,False,False,0.43999999999999995,0.53
Agent_25,2,Do Nothing,False,False,False,0.19000000000000003,0.49999999999999994
Agent_26,2,Only Flood Insurance,False,True,False,0.32000000000000006,0.37999999999999995
Agent_27,2,Do Nothing,False,False,False,0.3,0.41
Agent_28,2,Only Flood Insurance,False,True,False,0.33,0.56
Agent_29,2,Do Nothing,False,False,False,0.23,0.44999999999999996
Agent_30,2,Only Flood Insurance,False,True,False,0.28,0.48
Agent_31,2,Only Flood Insurance,False,True,False,0.34,0.41
Agent_32,2,Do Nothing,False,False,False,0.29,0.43
Agent_33,2,Do Nothing,False,False,False,0.42,0.5800000000000001
Agent_34,2,Relocate,False,False,True,0.37,0.52
Agent_35,2,Only Flood Insurance,False,True,False,0.31000000000000005,0.49
Agent_36,2,Do Nothing,False,False,False,0.5,0.38999999999999996
Agent_37,2,Only House Elevation,True,False,False,0.42,0.54
Agent_38,2,Only Flood Insurance,False,True,False,0.41,0.43999999999999995
Agent_39,2,Do Nothing,False,False,False,0.39999999999999997,0.47
Agent_40,2,Do Nothing,False,False,False,0.23,0.55
Agent_41,2,Only House Elevation,True,False,False,0.44999999999999996,0.37999999999999995
Agent_42,2,Only Flood Insurance,False,True,False,0.35,0.44999999999999996
Agent_43,2,Do Nothing,False,False,False,0.3,0.47
Agent_44,2,Only House Elevation,True,False,False,0.39999999999999997,0.43
Agent_45,2,Do Nothing,False,False,False,0.38999999999999996,0.47
Agent_46,2,Only House Elevation,True,False,False,0.41,0.47
Agent_47,2,Only Flood Insurance,False,True,False,0.4,0.38999999999999996
Agent_48,2,Only Flood Insurance,False,True,False,0.52,0.43
Agent_49,2,Do Nothing,False,False,False,0.42999999999999994,0.5800000000000001
Agent_50,2,Only House Elevation,True,False,False,0.39999999999999997,0.47
Agent_51,2,Only Flood Insurance,False,True,False,0.5,0.49999999999999994
Agent_52,2,Do Nothing,False,False,False,0.41,0.39999999999999997
Agent_53,2,Do Nothing,False,False,False,0.24999999999999997,0.45999999999999996
Agent_54,2,Only Flood Insurance,False,True,False,0.48,0.44999999999999996
Agent_55,2,Only Flood Insurance,False,True,False,0.45,0.49999999999999994
Agent_56,2,Relocate,True,False,True,0.44999999999999996,0.37
Agent_57,2,Only House Elevation,True,False,False,0.44999999999999996,0.43999999999999995
Agent_58,2,Only House Elevation,True,False,False,0.38999999999999996,0.52
Agent_59,2,Do Nothing,False,False,False,0.24000000000000002,0.41
Agent_60,2,Do Nothing,False,False,False,0.26,0.43999999999999995
Agent_61,2,Only House Elevation,True,False,False,0.24000000000000002,0.37999999999999995
Agent_62,2,Do Nothing,False,False,False,0.35,0.43999999999999995
